Key	Key_list	Key_Score	Key_Com
330001	331001	336001	331101
330002	331001	336001	331102
330003	331001	336001	331103
330004	331001	336001	331104
330005	331001	336001	331105
330006	331001	336001	331106
330007	331001	336001	331107
330008	331001	336002	331108
330009	331001	336002	331109
330010	331001	336002	331110
330011	331001	336002	331111
330012	331001	336002	331112
330013	331001	336002	331113
330014	331001	336002	331114
330015	331001	336003	331115
330016	331001	336003	331116
330017	331001	336003	331117
330018	331001	336003	331118
330019	331001	336003	331119
330020	331001	336003	331120
330021	331001	336003	331121
330022	332001	336001	332101
330023	332001	336001	332102
330024	332001	336001	332103
330025	332001	336001	332104
330026	332001	336001	332105
330027	332001	336001	332106
330028	332001	336001	332107
330029	332001	336002	332108
330030	332001	336002	332109
330031	332001	336002	332110
330032	332001	336002	332111
330033	332001	336002	332112
330034	332001	336002	332113
330035	332001	336002	332114
330036	332001	336003	332115
330037	332001	336003	332116
330038	332001	336003	332117
330039	332001	336003	332118
330040	332001	336003	332119
330041	332001	336003	332120
330042	332001	336003	332121
330043	333001	336001	333101
330044	333001	336001	333102
330045	333001	336001	333103
330046	333001	336001	333104
330047	333001	336001	333105
330048	333001	336001	333106
330049	333001	336001	333107
330050	333001	336002	333108
330051	333001	336002	333109
330052	333001	336002	333110
330053	333001	336002	333111
330054	333001	336002	333112
330055	333001	336002	333113
330056	333001	336002	333114
330057	333001	336003	333115
330058	333001	336003	333116
330059	333001	336003	333117
330060	333001	336003	333118
330061	333001	336003	333119
330062	333001	336003	333120
330063	333001	336003	333121
330064	334001	336001	334101
330065	334001	336001	334102
330066	334001	336001	334103
330067	334001	336001	334104
330068	334001	336001	334105
330069	334001	336001	334106
330070	334001	336001	334107
330071	334001	336002	334108
330072	334001	336002	334109
330073	334001	336002	334110
330074	334001	336002	334111
330075	334001	336002	334112
330076	334001	336002	334113
330077	334001	336002	334114
330078	334001	336003	334115
330079	334001	336003	334116
330080	334001	336003	334117
330081	334001	336003	334118
330082	334001	336003	334119
330083	334001	336003	334120
330084	334001	336003	334121
330085	335001	336001	335101
330086	335001	336001	335102
330087	335001	336001	335103
330088	335001	336001	335104
330089	335001	336001	335105
330090	335001	336001	335106
330091	335001	336001	335107
330092	335001	336002	335108
330093	335001	336002	335109
330094	335001	336002	335110
330095	335001	336002	335111
330096	335001	336002	335112
330097	335001	336002	335113
330098	335001	336002	335114
330099	335001	336003	335115
330100	335001	336003	335116
330101	335001	336003	335117
330102	335001	336003	335118
330103	335001	336003	335119
330104	335001	336003	335120
330105	335001	336003	335121
