Key	Key_tier	Key_com
340001	341001	341101
340002	341001	341102
340003	341001	341103
340004	341001	341104
340005	341001	341105
340006	341001	341106
340007	341001	341107
340008	341001	341108
340009	341001	341109
340010	341001	341110
340011	341001	341111
340012	341001	341112
340013	341001	341113
340014	341001	341114
340015	341001	341115
340016	341001	341116
340017	341001	341117
340018	341001	341118
340019	341001	341119
340020	341001	341120
340021	341001	341121
340022	341001	341122
340023	341002	341123
340024	341002	341124
340025	341002	341125
340026	341002	341126
340027	341002	341127
340028	341002	341128
340029	341002	341129
340030	341002	341130
340031	341002	341131
340032	341002	341132
340033	341002	341133
340034	341002	341134
340035	341002	341135
340036	341002	341136
340037	341002	341137
340038	341002	341138
340039	341002	341139
340040	341002	341140
340041	341002	341141
340042	341002	341142
340043	341002	341143
340044	341002	341144
340045	341003	341145
340046	341003	341146
340047	341003	341147
340048	341003	341148
340049	341003	341149
340050	341003	341150
340051	341003	341151
340052	341003	341152
340053	341003	341153
340054	341003	341154
340055	341003	341155
340056	341003	341156
340057	341003	341157
340058	341003	341158
340059	341003	341159
340060	341003	341160
340061	341003	341161
340062	341003	341162
340063	341003	341163
340064	341003	341164
340065	341003	341165
