Key	Key_Name	Key_Icon	Icon_Sound	Class	Key_Option	Key_SpecialAbility	Attack_Form	Deign_Form	Mass_Form	Durability_Form	Mana_Form	Key_Properties	Price	Key_Define
110001	111001	110001	manaCube	0			1	-1	0.5	-0.5	0	112001	225	113001
110002	111002	110002	manaCube	0			-1	1	0	-0.5	0.5	112002	225	113002
110003	111003	110003	manaCube	0			0.5	-0.5	1	-1	0	112003	225	113003
110004	111004	110004	manaCube	0			-1	0.5	0	1	-0.5	112004	225	113004
110005	111005	110005	manaCube	0			-1	0.5	-0.5	0	1	112005	225	113005
110006	111006	110006	manaCube	10			1	-1	0.5	-0.5	0	112001	5625	113006
110007	111007	110007	manaCube	10			-1	1	0	-0.5	0.5	112002	5625	113007
110008	111008	110008	manaCube	10			0.5	-0.5	1	-1	0	112003	5625	113008
110009	111009	110009	manaCube	10			-1	0.5	0	1	-0.5	112004	5625	113009
110010	111010	110010	manaCube	10			-1	0.5	-0.5	0	1	112005	5625	113010
110011	111011	110011	manaCube	20			1	-1	0.5	-0.5	0	112001	105469	113011
110012	111012	110012	manaCube	20			-1	1	0	-0.5	0.5	112002	105469	113012
110013	111013	110013	manaCube	20			0.5	-0.5	1	-1	0	112003	105469	113013
110014	111014	110014	manaCube	20			-1	0.5	0	1	-0.5	112004	105469	113014
110015	111015	110015	manaCube	20			-1	0.5	-0.5	0	1	112005	105469	113015
110016	111016	110016	manaCube	30			1	-1	0.5	-0.5	0	112001	1582031	113016
110017	111017	110017	manaCube	30			-1	1	0	-0.5	0.5	112002	1582031	113017
110018	111018	110018	manaCube	30			0.5	-0.5	1	-1	0	112003	1582031	113018
110019	111019	110019	manaCube	30			-1	0.5	0	1	-0.5	112004	1582031	113019
110020	111020	110020	manaCube	30			-1	0.5	-0.5	0	1	112005	1582031	113020
110021	111021	110021	manaCube	40			1	-1	0.5	-0.5	0	112001	28476563	113021
110022	111022	110022	manaCube	40			-1	1	0	-0.5	0.5	112002	28476563	113022
110023	111023	110023	manaCube	40			0.5	-0.5	1	-1	0	112003	28476563	113023
110024	111024	110024	manaCube	40			-1	0.5	0	1	-0.5	112004	28476563	113024
110025	111025	110025	manaCube	40			-1	0.5	-0.5	0	1	112005	28476563	113025
