Key	Key_Name	Key_Icon	Icon_Sound	Class	Hardness	Variability	Durability	Mass	Mana	TotalForm	Key_StrongPoint	Key_WeakPoint	Price	Key_Define	CancelABanPrice
100001	101001	100001	metal	0	0.5	-0.5	0	-1	0	-1	102001	102002	67	103001	0
100002	101002	100002	metal	0	-1	0.5	0	0	0	-0.5	102002	102001	67	103002	0
100003	101003	100003	metal	0	0	-1	0.5	0	0	-0.5	102003	102002	67	103003	0
100004	101004	100004	metal	0	-1	0	-0.5	0.5	0	-1	102004	102003	67	103004	0
100005	101005	100005	metal	0	0	-1	0	0	0.5	-0.5	102005	102002	67	103005	0
100006	101006	100006	bone	0	1	0.5	0.5	0	0	2	102001	102004	133	103006	625
100007	101007	100007	bone	0	0	1	0	0.5	0	1.5	102002	102001	133	103007	625
100008	101008	100008	bone	0	0.5	0	1	0	0	1.5	102003	102002	133	103008	625
100009	101009	100009	bone	0	0	0.5	0.5	1	0	2	102004	102001	133	103009	625
100010	101010	100010	bone	0	0.5	0	0	0	1	1.5	102005	102002	133	103010	625
100011	101011	100011	metal	10	0.5	-0.5	0	-1	0	-1	102001	102002	1,875	103011	0
100012	101012	100012	metal	10	-1	0.5	0	0	0	-0.5	102002	102001	1,875	103012	0
100013	101013	100013	metal	10	0	-1	0.5	0	0	-0.5	102003	102002	1,875	103013	0
100014	101014	100014	metal	10	-1	0	-0.5	0.5	0	-1	102004	102003	1,875	103014	0
100015	101015	100015	metal	10	0	-1	0	0	0.5	-0.5	102005	102002	1,875	103015	0
100016	101016	100016	bone	10	1	0.5	0.5	0	0	2	102001	102004	2,500	103016	11719
100017	101017	100017	bone	10	0	1	0	0.5	0	1.5	102002	102001	2,500	103017	11719
100018	101018	100018	bone	10	0.5	0	1	0	0	1.5	102003	102002	2,500	103018	11719
100019	101019	100019	bone	10	0	0.5	0.5	1	0	2	102004	102001	2,500	103019	11719
100020	101020	100020	bone	10	0.5	0	0	0	1	1.5	102005	102002	2,500	103020	11719
100021	101021	100021	metal	20	0.5	-0.5	0	-1	0	-1	102001	102002	28,125	103021	0
100022	101022	100022	metal	20	-1	0.5	0	0	0	-0.5	102002	102001	28,125	103022	0
100023	101023	100023	metal	20	0	-1	0.5	0	0	-0.5	102003	102002	28,125	103023	0
100024	101024	100024	metal	20	-1	0	-0.5	0.5	0	-1	102004	102003	28,125	103024	0
100025	101025	100025	metal	20	0	-1	0	0	0.5	-0.5	102005	102002	28,125	103025	0
100026	101026	100026	bone	20	1	0.5	0.5	0	0	2	102001	102004	37,500	103026	175781
100027	101027	100027	bone	20	0	1	0	0.5	0	1.5	102002	102001	37,500	103027	175781
100028	101028	100028	bone	20	0.5	0	1	0	0	1.5	102003	102002	37,500	103028	175781
100029	101029	100029	bone	20	0	0.5	0.5	1	0	2	102004	102001	37,500	103029	175781
100030	101030	100030	bone	20	0.5	0	0	0	1	1.5	102005	102002	37,500	103030	175781
100031	101031	100031	metal	30	0.5	-0.5	0	-1	0	-1	102001	102002	421,875	103031	0
100032	101032	100032	metal	30	-1	0.5	0	0	0	-0.5	102002	102001	421,875	103032	0
100033	101033	100033	metal	30	0	-1	0.5	0	0	-0.5	102003	102002	421,875	103033	0
100034	101034	100034	metal	30	-1	0	-0.5	0.5	0	-1	102004	102003	421,875	103034	0
100035	101035	100035	metal	30	0	-1	0	0	0.5	-0.5	102005	102002	421,875	103035	0
100036	101036	100036	bone	30	1	0.5	0.5	0	0	2	102001	102004	562,500	103036	2636719
100037	101037	100037	bone	30	0	1	0	0.5	0	1.5	102002	102001	562,500	103037	2636719
100038	101038	100038	bone	30	0.5	0	1	0	0	1.5	102003	102002	562,500	103038	2636719
100039	101039	100039	bone	30	0	0.5	0.5	1	0	2	102004	102001	562,500	103039	2636719
100040	101040	100040	bone	30	0.5	0	0	0	1	1.5	102005	102002	562,500	103040	2636719
100041	101041	100041	metal	40	0.5	-0.5	0	-1	0	-1	102001	102002	6,328,125	103041	0
100042	101042	100042	metal	40	-1	0.5	0	0	0	-0.5	102002	102001	6,328,125	103042	0
100043	101043	100043	metal	40	0	-1	0.5	0	0	-0.5	102003	102002	6,328,125	103043	0
100044	101044	100044	metal	40	-1	0	-0.5	0.5	0	-1	102004	102003	6,328,125	103044	0
100045	101045	100045	metal	40	0	-1	0	0	0.5	-0.5	102005	102002	6,328,125	103045	0
100046	101046	100046	bone	40	1	0.5	0.5	0	0	2	102001	102004	8,437,500	103046	39550781
100047	101047	100047	bone	40	0	1	0	0.5	0	1.5	102002	102001	8,437,500	103047	39550781
100048	101048	100048	bone	40	0.5	0	1	0	0	1.5	102003	102002	8,437,500	103048	39550781
100049	101049	100049	bone	40	0	0.5	0.5	1	0	2	102004	102001	8,437,500	103049	39550781
100050	101050	100050	bone	40	0.5	0	0	0	1	1.5	102005	102002	8,437,500	103050	39550781
