Key	Type	Class	Key_Name	Key_Icon	Icon_Sound	V1	V2	CancelABanPrice	Price	Key_Define
120001	0	0	121001	120001	wood	0.5	-1	0	75	123001
120002	0	0	121002	120002	wood	-1	0.5	0	75	123002
120003	0	0	121003	120003	wood	1	-1	313	100	123003
120004	0	0	121004	120004	wood	-1	1	313	100	123004
120005	0	0	121005	120005	wood	1	-0.5	375	150	123005
120006	0	0	121006	120006	wood	-0.5	1	375	150	123006
120007	0	10	121007	120007	wood	0.5	-1	0	1406	123007
120008	0	10	121008	120008	wood	-1	0.5	0	1406	123008
120009	0	10	121009	120009	wood	1	-1	5859	1875	123009
120010	0	10	121010	120010	wood	-1	1	5859	1875	123010
120011	0	10	121011	120011	wood	1	-0.5	7031	2813	123011
120012	0	10	121012	120012	wood	-0.5	1	7031	2813	123012
120013	0	20	121013	120013	wood	0.5	-1	0	21094	123013
120014	0	20	121014	120014	wood	-1	0.5	0	21094	123014
120015	0	20	121015	120015	wood	1	-1	87891	28125	123015
120016	0	20	121016	120016	wood	-1	1	87891	28125	123016
120017	0	20	121017	120017	wood	1	-0.5	105469	42188	123017
120018	0	20	121018	120018	wood	-0.5	1	105469	42188	123018
120019	0	30	121019	120019	wood	0.5	-1	0	316406	123019
120020	0	30	121020	120020	wood	-1	0.5	0	316406	123020
120021	0	30	121021	120021	wood	1	-1	1318359	421875	123021
120022	0	30	121022	120022	wood	-1	1	1318359	421875	123022
120023	0	30	121023	120023	wood	1	-0.5	1582031	632813	123023
120024	0	30	121024	120024	wood	-0.5	1	1582031	632813	123024
120025	0	40	121025	120025	wood	0.5	-1	0	4746094	123025
120026	0	40	121026	120026	wood	-1	0.5	0	4746094	123026
120027	0	40	121027	120027	wood	1	-1	19775391	6328125	123027
120028	0	40	121028	120028	wood	-1	1	19775391	6328125	123028
120029	0	40	121029	120029	wood	1	-0.5	23730469	9492188	123029
120030	0	40	121030	120030	wood	-0.5	1	23730469	9492188	123030
130001	1	0	131001	130001	leather	0.5	-1	0	75	133001
130002	1	0	131002	130002	leather	-1	0.5	0	75	133002
130003	1	0	131003	130003	leather	1	-1	313	100	133003
130004	1	0	131004	130004	leather	-1	1	313	100	133004
130005	1	0	131005	130005	leather	1	-0.5	375	150	133005
130006	1	0	131006	130006	leather	-0.5	1	375	150	133006
130007	1	10	131007	130007	leather	0.5	-1	0	1406	133007
130008	1	10	131008	130008	leather	-1	0.5	0	1406	133008
130009	1	10	131009	130009	leather	1	-1	5859	1875	133009
130010	1	10	131010	130010	leather	-1	1	5859	1875	133010
130011	1	10	131011	130011	leather	1	-0.5	7031	2813	133011
130012	1	10	131012	130012	leather	-0.5	1	7031	2813	133012
130013	1	20	131013	130013	leather	0.5	-1	0	21094	133013
130014	1	20	131014	130014	leather	-1	0.5	0	21094	133014
130015	1	20	131015	130015	leather	1	-1	87891	28125	133015
130016	1	20	131016	130016	leather	-1	1	87891	28125	133016
130017	1	20	131017	130017	leather	1	-0.5	105469	42188	133017
130018	1	20	131018	130018	leather	-0.5	1	105469	42188	133018
130019	1	30	131019	130019	leather	0.5	-1	0	316406	133019
130020	1	30	131020	130020	leather	-1	0.5	0	316406	133020
