Entry	Text	TextLoc1	TextLoc2
1000	"검은 공격이지! 다른 요소보다 ""공격""에 집중한다."		
1001	전투하다 부서지면 안 되지! 내구가 최고다!		
1002	몬스터 사냥에서 마력은 가장 중요한 요소. 긴말 하지 않겠다.		
1003	보기 좋은 게 비싼 법이지! 디자인은 언제나 답이다.		
1004	가벼워야 빠른 공격이 가능하다! 공속이 최고다!		
1005	추가시간 1.5배를 소모해 무기 성능 상승 확률을 높힌다.		
1006	1.5배의 자금을 소모해 무기의 성능을 높힌다.		
1007	"2배 시간,2배 자금을 소모해 무기 성능을 높힌다.역시 돈이 최고다!"		
1008	보통		
1009	마법		
1010	희귀		
1011	보물		
1012	전설		
1017	공격형		
1018	디자인형		
1019	내구형		
1020	무게형		
1021	마력형		
1022	성능개선		
1023	확률증가		
1024	더블작업		
1013	제작불가		
1014	제작재료를 확인해주십시오		
1015	제작단계		
1016	제작하시겠습니까?		
1050	지금은 지시에 따라주시면 감사하겠습니다.		
1051	제 설명을 잘못 이해하신 모양이군요 화살표가 가르키는 버튼을 눌러주십시오.		
1052	그쪽이 아닙니다, 화살표가 가르키는 방향을 눌러주시겠습니까?		
1053	한시가 급한 상황입니다. 지시에 따라주십시오.		
1054	그쪽이 아니라고 계속 말씀드리지 않습니까?		
1055	화살표가 가르키는 방향입니다 벌써 3번은 넘게 말씀드렸습니다.		
1056	아무리 이렇게 반항하셔도 바뀌는건 없습니다.		
1057	제 인내심을 바닥내려는거라면 벌써 성공하신거같군요.		
1058	젠장.. 왜 이런녀석을 맡게되서..		
301101			
301102	아무 힘도 느껴지지 않는		
301103	평범한		
301104	희미한 마력이 느껴지는		
301105	아주 평범한		
301106	마법이 깃든		
301107	마나 가득한		
301108	기이한 힘이 느껴지는		
301109	강건한		
301110	마력이 느껴지는		
301111	희귀한		
301112	쉽게 찾아볼 수 없는		
301113	레어인		
301114	아주 희귀한		
301115	절대 평범하지 않은		
301116	국가적인		
301117	보물급		
301118	경건한		
301119	역사적인		
301120	아주 강력한		
301121	전설적인		
301122	설화의 힘이 담긴		
301123	역사에 길이 남을		
301124	믿을 수 없는		
301125	극한에 다다른		
301126	신적인		
301127	신의 힘이 담긴		
301128	초월적인		
301129	감당할 수 없는		
301130	다시는 나올 수 없는		
311101	최하급의		
311102	완전 미완성의		
311103	불량의		
311104	똥손의		
311105	재료보다 낮은 가치의		
311106	하급의		
311107	미완성의		
311108	재능 없는 이의		
311109	약간 불량의		
311110	저급의		
311111	중급의		
311112	노력파의		
311113	재능이 약간 보이는 이의		
311114	나쁘지 않은 품질의		
311115	괜찮은 퀄리티의		
311116	상급의		
311117	꽤 괜찮은 품질의		
311118	재능있는 이의		
311119	고퀄리티의		
311120	운이 좋았던 이의		
311121	최상급의		
311122	상위 1%의		
311123	완벽한		
311124	천재의		
311125	운빨 최강의		
321101	원 핸드 소드		
321102	롱 소드		
321103	브로드 소드		
321104	글라디우스		
321105	피란기		
321106	아넬라스		
321107	천총운검		
321108	앤틀러 소드		
321109	이어 소드		
321110	행거		
321111	바이킹 소드		
321112	한 손 도		
321113	언월도		
321114	청룡도		
321115	신월도		
321116	시미터		
321117	사브르		
321118	펄션		
321119	샴쉬르		
321120	킬리지		
321121	코라		
321122	타도		
321123	투 핸드 소드		
321124	그레이트 소드		
321125	바스타드 소드		
321126	클레이모어		
321127	플랑베르주		
321128	액셔큐셔너스 소드		
321129	커타나		
321130	두추대도		
321131	칸다		
321132	규두대도		
321133	레이피어		
321134	에페		
321135	플레레		
321136	터크		
321137	스몰 소드		
