Key	Key_Icon	Categorize	Class	Key_Name	Score_Min01	Score_Max01	Probability01	Score_Min02	Score_Max02	Probability02	CancelABanPrice	Price	Key_Define
140001	140001	0	0	141001	0	15	80	10	25	20		75	143001
140002	140002	1	0	141002	0	15	80	10	25	20		75	143002
140003	140003	2	0	141003	0	15	80	10	25	20		100	143003
140004	140004	0	0	141004	0	15	20	10	25	80		100	143004
140005	140005	1	0	141005	0	15	20	10	25	80		150	143005
140006	140006	2	0	141006	0	15	20	10	25	80		150	143006
140007	140007	0	10	141007	0	15	80	10	25	20		1406	143007
140008	140008	1	10	141008	0	15	80	10	25	20		1406	143008
140009	140009	2	10	141009	0	15	80	10	25	20		1875	143009
140010	140010	0	10	141010	0	15	20	10	25	80		1875	143010
140011	140011	1	10	141011	0	15	20	10	25	80		2812	143011
140012	140012	2	10	141012	0	15	20	10	25	80		2812	143012
140013	140013	0	20	141013	0	15	80	10	25	20		21093	143013
140014	140014	1	20	141014	0	15	80	10	25	20		21093	143014
140015	140015	2	20	141015	0	15	80	10	25	20		28125	143015
140016	140016	0	20	141016	0	15	20	10	25	80		28125	143016
140017	140017	1	20	141017	0	15	20	10	25	80		42187	143017
140018	140018	2	20	141018	0	15	20	10	25	80		42187	143018
140019	140019	0	30	141019	0	15	80	10	25	20		316406	143019
140020	140020	1	30	141020	0	15	80	10	25	20		316406	143020
140021	140021	2	30	141021	0	15	80	10	25	20		421875	143021
140022	140022	0	30	141022	0	15	20	10	25	80		421875	143022
140023	140023	1	30	141023	0	15	20	10	25	80		632812	143023
140024	140024	2	30	141024	0	15	20	10	25	80		632812	143024
140025	140025	0	40	141025	0	15	80	10	25	20		4746093	143025
140026	140026	1	40	141026	0	15	80	10	25	20		4746093	143026
140027	140027	2	40	141027	0	15	80	10	25	20		6328125	143027
140028	140028	0	40	141028	0	15	20	10	25	80		6328125	143028
140029	140029	1	40	141029	0	15	20	10	25	80		9492187	143029
140030	140030	2	40	141030	0	15	20	10	25	80		9492187	143030
