Key	Key_tier	Key_define
310001	311001	311101
310002	311001	311102
310003	311001	311103
310004	311001	311104
310005	311001	311105
310006	311002	311106
310007	311002	311107
310008	311002	311108
310009	311002	311109
310010	311002	311110
310011	311003	311111
310012	311003	311112
310013	311003	311113
310014	311003	311114
310015	311003	311115
310016	311004	311116
310017	311004	311117
310018	311004	311118
310019	311004	311119
310020	311004	311120
310021	311005	311121
310022	311005	311122
310023	311005	311123
310024	311005	311124
310025	311005	311125
